tos,dscp_class,ip_precedence
0x20,cs1,1:Priority
0x28,af11,1:Priority
0x30,af12,1:Priority
0x38,af13,1:Priority
0x40,cs2,2:Immediate
0x48,af21,2:Immediate
0x50,af22,2:Immediate
0x58,af23,2:Immediate
0x60,cs3,3:Flash
0x68,af31,3:Flash
0x70,af32,3:Flash
0x78,af33,3:Flash
0x80,cs4,4:FlashOverride
0x88,af41,4:FlashOverride
0x90,af42,4:FlashOverride
0x98,af43,4:FlashOverride
0xA0,cs5,5:Critical
0xB8,ef,5:Critical
0xC0,cs6,6:Internetworkcontrol
0xE0,cs7,7:Networkcontrol
0x0,cs0,0:Best Effort
